show_id;type;title;cast_in;country;release_year;rating;duration;listed_in;date_added
1767;TV Show;The Good Detective;Son Hyun-joo, Jang Seung-jo, Lee Elijah;South Korea;2020;TV-MA;1 Season;Crime TV Shows, International TV Shows, TV Dramas;01.11.2020
1768;Movie;The Impossible;Naomi Watts, Ewan McGregor, Tom Holland;Spain;2012;PG-13;114 min;Dramas;01.11.2020
1769;Movie;The Next Karate Kid;Pat Morita, Hilary Swank, Michael Ironside;United States;1994;PG;107 min;Action & Adventure, Dramas, Sports Movies;01.11.2020
1770;TV Show;Voice;Jang Hyuk, Lee Ha-na, Baek Sung-hyun;South Korea;2018;TV-14;2 Seasons;Crime TV Shows, International TV Shows, Korean TV Shows;01.11.2020
1771;Movie;Wheels of Fortune;Matt Jones, Noureen DeWulf, John Ducey;United States;2020;R;107 min;Comedies, Sports Movies;01.11.2020
1772;TV Show;Afronta! Facing It!;Loo Nascimento, Ingrid Silva, Rincon Sapiência;Brazil;2017;TV-PG;1 Season;Docuseries, International TV Shows;31.10.2020
1773;Movie;The 12th Man;Thomas Gullestad, Jonathan Rhys Meyers, Marie Blokhus;Norway;2018;TV-MA;130 min;Action & Adventure, Dramas, International Movies;31.10.2020
1775;Movie;Hidden in Plain Sight;Victoria Barabas, Gino Anthony Pesi, Jake Allyn;United States;2019;TV-14;87 min;Dramas, Independent Movies, Thrillers;30.10.2020
1776;Movie;His House;Ṣọpẹ́ Dìrísù, Wunmi Mosaku, Matt Smith;United Kingdom;2020;TV-14;93 min;Horror Movies, Independent Movies;30.10.2020
1777;Movie;In Line;Chris Attoh, Adesua Etomi, Uzor Arukwe;Nigeria;2017;TV-14;114 min;Dramas, International Movies;30.10.2020
1778;Movie;Kaali Khuhi;Shabana Azmi, Leela Samson, Sanjeeda Sheikh;India;2020;TV-14;91 min;Horror Movies, International Movies;30.10.2020
1780;TV Show;Marvel's Agents of S.H.I.E.L.D.;Clark Gregg, Ming-Na Wen, Brett Dalton;United States;2020;TV-14;7 Seasons;TV Action & Adventure, TV Sci-Fi & Fantasy;30.10.2020
1781;Movie;Rogue City;Lannick Gautry, Stanislas Merhar, Kaaris;France;2020;TV-MA;116 min;Dramas, International Movies, Thrillers;30.10.2020
1783;TV Show;Suburra: Blood on Rome;Alessandro Borghi, Giacomo Ferrara, Eduardo Valdarnini;Italy;2020;TV-MA;3 Seasons;Crime TV Shows, International TV Shows, TV Dramas;30.10.2020
1784;Movie;The Day of the Lord;Juli Fàbregas, Ximena Romo, Héctor Illanes;Mexico;2020;TV-MA;93 min;Horror Movies, International Movies;30.10.2020
1785;Movie;Pagpag: Nine Lives;Daniel Padilla, Kathryn Bernardo, Shaina Magdayao;Philippines;2013;TV-14;106 min;Horror Movies, International Movies;29.10.2020
1786;Movie;Holidate;Emma Roberts, Luke Bracey, Kristin Chenoweth;United States;2020;TV-MA;105 min;Comedies, Romantic Movies;28.10.2020
1788;Movie;Metallica Through The Never;Dane DeHaan, James Hetfield, Lars Ulrich;United States;2013;R;93 min;Music & Musicals;28.10.2020
8694;Movie;Walking Out;Matt Bomer, Josh Wiggins, Bill Pullman;United States;2017;PG-13;96 min;Dramas, Independent Movies, Thrillers;01.10.2019
1789;Movie;Nobody Sleeps in the Woods Tonight;Julia Wieniawa-Narkiewicz, Michał Lupa, Wiktoria Gąsiewska;Poland;2020;TV-MA;103 min;Horror Movies, International Movies;28.10.2020
1791;TV Show;Blood of Zeus;Derek Phillips, Jason O'Mara, Claudia Christian;United States;2020;TV-MA;1 Season;Anime Series;27.10.2020
